label,color
Agricultural 'waste',"rgba(31, 119, 180, 0.8)"
Bio-conversion,"rgba(255, 127, 14, 0.8)"
Liquid,"rgba(44, 160, 44, 0.8)"
Losses,"rgba(214, 39, 40, 0.8)"
Solid,"rgba(148, 103, 189, 0.8)"
Gas,"rgba(140, 86, 75, 0.8)"
Biofuel imports,"rgba(227, 119, 194, 0.8)"
Biomass imports,"rgba(127, 127, 127, 0.8)"
Coal imports,"rgba(188, 189, 34, 0.8)"
Coal,"rgba(23, 190, 207, 0.8)"
Coal reserves,"rgba(31, 119, 180, 0.8)"
District heating,"rgba(255, 127, 14, 0.8)"
Industry,"rgba(44, 160, 44, 0.8)"
Heating and cooling - commercial,"rgba(214, 39, 40, 0.8)"
Heating and cooling - homes,"rgba(148, 103, 189, 0.8)"
Electricity grid,"rgba(140, 86, 75, 0.8)"
Over generation / exports,"rgba(227, 119, 194, 0.8)"
H2 conversion,"rgba(127, 127, 127, 0.8)"
Road transport,"rgba(188, 189, 34, 0.8)"
Agriculture,"rgba(23, 190, 207, 0.8)"
Rail transport,"rgba(31, 119, 180, 0.8)"
Lighting & appliances - commercial,"rgba(255, 127, 14, 0.8)"
Lighting & appliances - homes,"rgba(44, 160, 44, 0.8)"
Gas imports,"rgba(214, 39, 40, 0.8)"
Ngas,"rgba(148, 103, 189, 0.8)"
Gas reserves,"rgba(140, 86, 75, 0.8)"
Thermal generation,"rgba(227, 119, 194, 0.8)"
Geothermal,"rgba(127, 127, 127, 0.8)"
H2,"rgba(188, 189, 34, 0.8)"
Hydro,"rgba(23, 190, 207, 0.8)"
International shipping,"rgba(31, 119, 180, 0.8)"
Domestic aviation,"rgba(255, 127, 14, 0.8)"
International aviation,"rgba(44, 160, 44, 0.8)"
National navigation,"rgba(214, 39, 40, 0.8)"
Marine algae,"rgba(148, 103, 189, 0.8)"
Nuclear,magenta
Oil imports,"rgba(227, 119, 194, 0.8)"
Oil,"rgba(127, 127, 127, 0.8)"
Oil reserves,"rgba(188, 189, 34, 0.8)"
Other waste,"rgba(23, 190, 207, 0.8)"
Pumped heat,"rgba(31, 119, 180, 0.8)"
Solar PV,"rgba(255, 127, 14, 0.8)"
Solar Thermal,"rgba(44, 160, 44, 0.8)"
Solar,"rgba(214, 39, 40, 0.8)"
Tidal,"rgba(148, 103, 189, 0.8)"
UK land based bioenergy,"rgba(140, 86, 75, 0.8)"
Wave,"rgba(227, 119, 194, 0.8)"
Wind,"rgba(127, 127, 127, 0.8)"
